timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787750417.370963522,panther_controller,43.39%,97.72MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750417.370963522,panther2_controller,41.84%,99.36MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750419.418113536,panther_controller,49.27%,99.86MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750419.418113536,panther2_controller,46.17%,100.7MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750421.426319608,panther_controller,44.50%,101.3MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750421.426319608,panther2_controller,41.16%,101.1MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750423.437437721,panther_controller,44.55%,100.8MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750423.437437721,panther2_controller,41.52%,101.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750425.446370318,panther_controller,51.02%,101.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750425.446370318,panther2_controller,46.53%,101.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750427.455366263,panther_controller,44.99%,101.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750427.455366263,panther2_controller,43.80%,101.9MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750429.464553802,panther_controller,44.31%,101.5MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750429.464553802,panther2_controller,47.42%,102.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750431.473715102,panther_controller,44.94%,101.9MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750431.473715102,panther2_controller,50.51%,102MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750433.483586504,panther_controller,40.21%,102.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750433.483586504,panther2_controller,46.38%,102.5MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750435.494031403,panther_controller,41.02%,102.3MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750435.494031403,panther2_controller,45.10%,102.7MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750437.503791356,panther_controller,43.16%,102.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750437.503791356,panther2_controller,48.26%,104.6MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750439.513452084,panther_controller,38.24%,102.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750439.513452084,panther2_controller,43.86%,104.6MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750441.523390136,panther_controller,40.95%,102.9MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750441.523390136,panther2_controller,46.07%,104.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750443.532649497,panther_controller,43.35%,103.3MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750443.532649497,panther2_controller,48.31%,105.1MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750445.543266658,panther_controller,39.74%,103.4MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750445.543266658,panther2_controller,43.21%,105.1MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750447.553665838,panther_controller,39.23%,103.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787750447.553665838,panther2_controller,42.90%,105MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750449.562347876,panther_controller,43.36%,103.7MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750449.562347876,panther2_controller,48.70%,105.2MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750451.571024919,panther_controller,38.48%,104.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750451.571024919,panther2_controller,43.40%,105.2MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750453.580606587,panther_controller,42.92%,104.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750453.580606587,panther2_controller,48.35%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750455.590091639,panther_controller,39.90%,104.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750455.590091639,panther2_controller,45.03%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750457.600055605,panther_controller,42.20%,104.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750457.600055605,panther2_controller,47.07%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750459.609944005,panther_controller,41.73%,104.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750459.609944005,panther2_controller,47.60%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750461.619149684,panther_controller,40.49%,105MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750461.619149684,panther2_controller,47.34%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750463.628863389,panther_controller,39.31%,105.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750463.628863389,panther2_controller,47.07%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750465.639138083,panther_controller,40.62%,105.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750465.639138083,panther2_controller,48.37%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750467.649339992,panther_controller,38.56%,105.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750467.649339992,panther2_controller,43.72%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750469.658465833,panther_controller,43.62%,105.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750469.658465833,panther2_controller,46.02%,105.7MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750471.668647092,panther_controller,47.53%,105.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750471.668647092,panther2_controller,46.97%,105.7MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750473.677882689,panther_controller,41.99%,105.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750473.677882689,panther2_controller,44.05%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750475.688208277,panther_controller,44.84%,105.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750475.688208277,panther2_controller,45.18%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750477.697909362,panther_controller,45.20%,105.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750477.697909362,panther2_controller,45.60%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750479.707849081,panther_controller,44.46%,105.3MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787750479.707849081,panther2_controller,42.84%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750481.717902383,panther_controller,43.98%,105.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787750481.717902383,panther2_controller,41.79%,105.3MiB / 31.05GiB,0B / 0B,0B / 975kB,55
1787750483.729037419,panther_controller,44.52%,105.1MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750483.729037419,panther2_controller,43.42%,105.4MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750485.739932509,panther_controller,42.93%,105.2MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750485.739932509,panther2_controller,39.96%,105.7MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750487.749721697,panther_controller,46.66%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750487.749721697,panther2_controller,44.35%,105.7MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750489.759761545,panther_controller,42.96%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750489.759761545,panther2_controller,44.35%,105.8MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750491.769542598,panther_controller,42.41%,105.4MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750491.769542598,panther2_controller,46.53%,105.4MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750493.779515609,panther_controller,43.91%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750493.779515609,panther2_controller,45.01%,105.8MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750495.788941021,panther_controller,45.51%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750495.788941021,panther2_controller,46.42%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750497.798903939,panther_controller,44.98%,105.5MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750497.798903939,panther2_controller,43.41%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750499.808901686,panther_controller,43.80%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750499.808901686,panther2_controller,43.32%,105.5MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750501.819385308,panther_controller,44.00%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750501.819385308,panther2_controller,41.82%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750503.829745425,panther_controller,49.54%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750503.829745425,panther2_controller,45.47%,105.7MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750505.839251365,panther_controller,48.36%,105.6MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750505.839251365,panther2_controller,44.42%,105.7MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750507.848629458,panther_controller,46.63%,105.7MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750507.848629458,panther2_controller,45.41%,105.5MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750509.861585271,panther_controller,48.57%,105.8MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750509.861585271,panther2_controller,46.37%,105.8MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750511.870553429,panther_controller,47.89%,106.1MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750511.870553429,panther2_controller,46.39%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750513.880790991,panther_controller,44.72%,105.9MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750513.880790991,panther2_controller,42.68%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750515.890294595,panther_controller,48.39%,105.7MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750515.890294595,panther2_controller,47.43%,105.7MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750517.900230251,panther_controller,45.38%,105.9MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787750517.900230251,panther2_controller,43.75%,105.9MiB / 31.05GiB,0B / 0B,0B / 983kB,55
1787750519.910705653,panther_controller,46.23%,106MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750519.910705653,panther2_controller,44.83%,105.9MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750521.919993235,panther_controller,47.14%,105.9MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750521.919993235,panther2_controller,47.12%,105.7MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750523.929187846,panther_controller,40.18%,105.8MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750523.929187846,panther2_controller,41.31%,105.8MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750525.939434775,panther_controller,41.45%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750525.939434775,panther2_controller,45.17%,105.8MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750527.948881655,panther_controller,44.05%,105.5MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750527.948881655,panther2_controller,47.26%,105.6MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750529.957799239,panther_controller,39.22%,105.7MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750529.957799239,panther2_controller,43.45%,105.7MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750531.967557117,panther_controller,44.66%,105.5MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750531.967557117,panther2_controller,45.56%,105.8MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750533.978304839,panther_controller,43.50%,105.6MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750533.978304839,panther2_controller,45.15%,105.5MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750535.988109789,panther_controller,42.14%,106MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750535.988109789,panther2_controller,44.97%,105.7MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750537.997798715,panther_controller,43.98%,105.9MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750537.997798715,panther2_controller,45.53%,105.5MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750540.008777891,panther_controller,47.21%,106.3MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750540.008777891,panther2_controller,47.36%,105.8MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750542.018110780,panther_controller,43.63%,106.3MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750542.018110780,panther2_controller,42.32%,106.1MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750544.028119559,panther_controller,44.09%,105.9MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750544.028119559,panther2_controller,40.98%,106.2MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750546.039616774,panther_controller,44.49%,105.9MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750546.039616774,panther2_controller,44.92%,105.9MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750548.047278290,panther_controller,38.20%,106MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750548.047278290,panther2_controller,40.11%,105.9MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750550.058400669,panther_controller,40.17%,106MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750550.058400669,panther2_controller,40.51%,106MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750552.067095024,panther_controller,42.47%,106.2MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787750552.067095024,panther2_controller,44.00%,105.9MiB / 31.05GiB,0B / 0B,0B / 987kB,55
1787750554.076697770,panther_controller,42.92%,106.3MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787750554.076697770,panther2_controller,42.87%,105.8MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1787750556.085214374,panther_controller,43.45%,106.2MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787750556.085214374,panther2_controller,43.50%,106.1MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1787750558.094686164,panther_controller,43.89%,106.3MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787750558.094686164,panther2_controller,40.80%,105.7MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1787750560.104398655,panther_controller,43.25%,106.4MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787750560.104398655,panther2_controller,42.26%,105.9MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1787750562.114903597,panther_controller,42.83%,106.2MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787750562.114903597,panther2_controller,43.02%,106.1MiB / 31.05GiB,0B / 0B,0B / 995kB,55
