wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/cmd_vel_nav_sim_hz,panther3/cmd_vel_nav_sim_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/amcl_pose_sim_hz,panther3/amcl_pose_sim_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/plan_sim_hz,panther3/plan_sim_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/local_costmap_sim_hz,panther3/local_costmap_sim_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/velodyne_filtered_sim_hz,panther3/velodyne_filtered_sim_jitter_ms,panther3/path_length_m
1788356905.790,71.000,18.9,10.03,6.39,11.88,6.51,1.42,2.36,1.88,94.28,0.98,0.00,1.14,14.00,1.50,84.40,1.78,71.73,8.96,116.65,10.56,99.86,0.241,10.00,5.63,11.78,6.24,2.12,6.59,2.50,0.00,0.97,0.00,1.13,6.00,1.43,99.83,1.77,70.88,8.96,116.45,10.56,99.86,7.983,10.00,1.58,11.78,4.71,2.12,6.19,2.50,0.00,0.98,0.00,1.14,4.00,1.50,94.36,1.77,68.20,8.97,116.39,10.56,99.86,8.117
1788356906.962,72.000,20.1,10.05,4.23,11.76,6.04,4.37,4.42,2.22,433.01,0.98,0.00,1.15,8.00,1.51,85.65,1.76,66.96,9.12,112.55,10.56,99.86,0.000,10.03,3.08,11.69,5.98,2.14,8.93,2.50,0.00,0.96,0.00,1.13,4.00,1.67,0.58,1.95,3.27,9.15,114.53,10.56,99.86,7.395,10.02,1.70,11.71,4.35,2.14,7.97,2.50,0.00,0.98,0.00,1.15,0.00,1.67,0.33,1.94,6.53,9.14,114.55,10.56,99.86,6.917
1788356908.199,73.000,21.4,10.01,1.57,12.00,8.64,4.12,24.09,5.00,0.00,0.97,0.00,1.17,24.00,1.50,88.92,1.79,50.00,8.71,117.76,10.56,99.86,0.071,10.00,2.17,12.05,8.81,2.05,79.72,2.50,0.00,0.96,0.00,1.17,0.00,1.42,101.77,1.80,59.42,8.70,122.86,10.56,99.86,6.235,10.01,1.25,12.05,8.02,2.05,87.87,2.50,0.00,0.97,0.00,1.18,22.00,1.50,94.42,1.79,52.90,8.67,122.99,10.56,99.86,6.326
1788356909.378,74.000,22.5,10.01,7.94,12.12,8.23,4.26,13.63,5.00,0.00,0.98,0.00,1.19,8.00,1.43,109.68,1.66,71.13,8.94,116.04,10.56,99.86,0.000,10.00,2.92,12.12,9.00,2.20,40.36,2.50,0.00,0.96,0.00,1.15,10.00,1.43,97.89,1.66,67.44,8.94,117.21,10.56,99.86,5.555,10.01,1.62,12.10,8.30,2.22,45.35,2.50,0.00,0.96,0.00,1.18,20.00,1.43,99.99,1.66,65.43,8.94,116.78,10.56,99.86,5.676
1788356910.587,75.000,23.7,10.33,23.73,12.22,17.43,3.68,91.31,4.44,66.14,1.01,31.66,1.22,26.00,1.50,99.83,1.79,71.73,8.88,118.28,10.56,99.86,24.469,9.96,2.71,11.86,5.52,2.10,12.91,2.50,0.00,0.98,0.00,1.15,10.00,1.41,103.92,1.78,69.00,8.88,118.22,10.56,99.86,4.935,9.98,1.58,11.86,5.77,2.10,12.16,2.50,0.00,0.97,0.00,1.15,2.00,1.42,102.87,1.79,68.84,8.87,117.61,10.56,99.86,5.076
1788356911.762,76.000,24.9,10.01,2.93,12.24,17.47,2.61,196.27,3.33,152.75,0.96,0.00,1.20,34.00,1.67,2.33,1.79,72.61,8.86,111.29,10.56,99.86,24.221,9.97,4.51,11.93,5.21,2.10,11.03,2.50,0.00,0.97,0.00,1.16,6.00,1.25,11.20,1.62,69.00,8.89,118.21,10.56,99.86,4.385,9.97,3.78,11.88,5.72,2.10,10.03,2.50,0.00,0.98,0.00,1.16,2.00,1.66,8.89,1.78,66.72,8.89,117.84,10.56,99.86,4.476
1788356912.993,77.000,26.2,9.89,8.49,12.05,7.77,2.57,125.71,3.33,100.00,0.95,0.00,1.17,24.00,1.50,95.96,1.82,61.30,8.75,119.52,10.56,99.86,23.231,10.03,4.63,12.07,5.71,2.06,22.95,2.50,0.00,0.97,0.00,1.15,2.00,1.42,106.40,1.64,66.69,8.76,120.19,10.56,99.86,3.785,10.04,4.24,12.07,5.83,2.06,22.25,2.50,0.00,0.97,0.00,1.15,10.00,1.50,87.35,1.78,66.72,8.75,118.97,10.56,99.86,3.993
1788356914.203,78.000,27.4,10.01,9.73,12.22,7.66,2.03,20.29,2.50,0.00,0.96,0.00,1.19,8.00,1.25,1.79,1.67,68.59,8.60,121.99,10.56,99.86,22.636,10.01,7.92,12.22,7.21,2.03,21.63,2.50,0.00,0.97,0.00,1.17,20.00,1.43,91.80,1.67,67.44,8.60,122.04,10.56,99.86,3.288,10.00,2.97,12.27,4.87,2.31,110.92,2.78,80.00,0.97,0.00,1.20,8.00,1.25,0.67,1.54,4.99,8.59,121.17,10.56,99.86,2.893
1788356915.412,79.000,28.6,10.01,3.56,12.02,4.47,2.08,12.26,2.50,0.00,0.95,0.00,1.15,24.00,1.66,4.22,1.79,72.61,8.82,118.58,10.56,99.86,22.100,10.03,8.52,12.02,7.21,2.07,17.56,2.50,0.00,0.97,0.00,1.17,12.00,1.42,98.57,1.64,74.64,8.82,118.78,10.56,99.86,1.956,9.99,3.06,11.98,4.14,2.60,121.03,3.13,97.98,0.97,0.00,1.17,14.00,1.41,92.15,1.64,74.93,8.82,118.25,10.56,99.86,2.132
1788356916.621,80.000,29.8,10.00,3.69,12.05,4.51,2.06,12.58,2.50,0.00,0.97,0.00,1.15,26.00,1.25,2.05,1.64,70.88,8.80,118.93,10.56,99.86,21.535,9.99,2.83,12.07,6.58,2.06,21.63,2.50,0.00,0.97,0.00,1.18,14.00,1.25,8.48,1.51,3.77,8.81,118.77,10.56,99.86,1.259,10.00,1.43,12.10,5.85,2.06,11.53,2.78,80.00,0.97,0.00,1.17,14.00,1.43,83.90,1.65,72.83,8.81,118.71,10.56,99.86,1.452
1788356917.808,81.000,31.0,10.00,2.15,12.05,4.51,2.09,9.04,2.50,0.00,0.96,0.00,1.17,14.00,1.42,92.79,1.64,69.00,8.87,118.39,10.56,99.86,20.960,9.99,4.40,12.05,6.24,2.10,2.52,2.50,0.00,0.97,0.00,1.17,16.00,1.43,91.73,1.64,69.77,8.87,118.26,10.56,99.86,0.595,10.01,2.32,12.10,6.50,2.08,8.24,2.50,0.00,0.97,0.00,1.17,14.00,1.51,87.38,1.81,62.23,8.86,117.80,10.56,99.86,0.778
1788356919.064,82.000,32.2,10.02,5.92,12.22,6.53,2.06,31.32,2.50,0.00,0.96,0.00,1.16,8.00,1.27,9.06,1.67,62.57,8.71,115.40,10.56,99.86,20.449,9.99,4.15,12.17,5.41,2.04,22.67,2.50,0.00,0.97,0.00,1.18,20.00,1.26,7.28,1.66,65.24,8.71,120.41,10.56,99.86,0.191,9.99,2.17,12.15,5.76,1.75,100.92,2.22,86.60,0.97,0.00,1.17,16.00,1.25,10.04,1.66,67.12,8.72,118.69,10.56,99.86,0.433
1788356920.288,83.000,33.4,10.09,4.02,12.40,5.96,2.06,18.82,2.50,0.00,0.95,0.00,1.17,20.00,1.27,10.72,1.56,7.54,8.59,116.91,10.56,99.86,19.523,10.01,4.65,12.37,5.03,1.54,416.55,1.88,339.93,0.98,0.00,1.21,0.00,1.26,6.70,1.56,11.47,8.59,121.35,10.56,99.86,0.000,10.02,1.52,12.37,5.41,1.50,104.58,1.87,94.28,0.97,0.00,1.20,6.00,1.26,5.53,1.55,9.80,8.60,120.13,10.56,99.86,0.221
