# started on Wed Sep  2 15:48:04 2026

#           time             counts   unit events
    39.045822733               3.42 Joules power/energy-cores/                                                   
    39.045822733               0.68 Joules power/energy-psys/                                                    
    40.047209082               7.77 Joules power/energy-pkg/                                                     
    40.047209082               3.53 Joules power/energy-cores/                                                   
    40.047209082               0.68 Joules power/energy-psys/                                                    
    41.048591003               7.76 Joules power/energy-pkg/                                                     
    41.048591003               3.49 Joules power/energy-cores/                                                   
    41.048591003               0.68 Joules power/energy-psys/                                                    
    42.050062375               6.73 Joules power/energy-pkg/                                                     
    42.050062375               2.85 Joules power/energy-cores/                                                   
    42.050062375               0.68 Joules power/energy-psys/                                                    
    43.051320093               7.86 Joules power/energy-pkg/                                                     
    43.051320093               3.59 Joules power/energy-cores/                                                   
    43.051320093               0.68 Joules power/energy-psys/                                                    
    44.052623016               7.30 Joules power/energy-pkg/                                                     
    44.052623016               3.25 Joules power/energy-cores/                                                   
    44.052623016               0.68 Joules power/energy-psys/                                                    
    45.053287684               7.86 Joules power/energy-pkg/                                                     
    45.053287684               3.60 Joules power/energy-cores/                                                   
    45.053287684               0.68 Joules power/energy-psys/                                                    
    46.054252224               7.79 Joules power/energy-pkg/                                                     
    46.054252224               3.57 Joules power/energy-cores/                                                   
    46.054252224               0.68 Joules power/energy-psys/                                                    
    47.055520216               7.27 Joules power/energy-pkg/                                                     
    47.055520216               3.01 Joules power/energy-cores/                                                   
    47.055520216               0.68 Joules power/energy-psys/                                                    
    48.056886047               7.36 Joules power/energy-pkg/                                                     
    48.056886047               3.29 Joules power/energy-cores/                                                   
    48.056886047               0.68 Joules power/energy-psys/                                                    
    49.058205887               7.43 Joules power/energy-pkg/                                                     
    49.058205887               3.29 Joules power/energy-cores/                                                   
    49.058205887               0.68 Joules power/energy-psys/                                                    
    50.059568771               7.35 Joules power/energy-pkg/                                                     
    50.059568771               3.26 Joules power/energy-cores/                                                   
    50.059568771               0.68 Joules power/energy-psys/                                                    
    51.060291466               7.93 Joules power/energy-pkg/                                                     
    51.060291466               3.58 Joules power/energy-cores/                                                   
    51.060291466               0.68 Joules power/energy-psys/                                                    
    52.061273265               7.48 Joules power/energy-pkg/                                                     
    52.061273265               3.36 Joules power/energy-cores/                                                   
    52.061273265               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    53.062730651               7.08 Joules power/energy-pkg/                                                     
    53.062730651               3.02 Joules power/energy-cores/                                                   
    53.062730651               0.68 Joules power/energy-psys/                                                    
    54.064035253               7.69 Joules power/energy-pkg/                                                     
    54.064035253               3.46 Joules power/energy-cores/                                                   
    54.064035253               0.68 Joules power/energy-psys/                                                    
    55.065406061               7.36 Joules power/energy-pkg/                                                     
    55.065406061               3.25 Joules power/energy-cores/                                                   
    55.065406061               0.68 Joules power/energy-psys/                                                    
    56.066259338               7.65 Joules power/energy-pkg/                                                     
    56.066259338               3.43 Joules power/energy-cores/                                                   
    56.066259338               0.67 Joules power/energy-psys/                                                    
