timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1788356884.390006930,panther_controller,43.06%,114.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356884.390006930,panther2_controller,43.01%,113.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356884.390006930,panther3_controller,42.18%,115.8MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356886.439647442,panther_controller,40.46%,116MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356886.439647442,panther2_controller,39.76%,113.9MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356886.439647442,panther3_controller,35.34%,116.1MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356888.455294051,panther_controller,50.44%,116.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356888.455294051,panther2_controller,50.56%,114MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356888.455294051,panther3_controller,42.92%,117.1MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356890.466070921,panther_controller,43.83%,116.6MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356890.466070921,panther2_controller,43.97%,114.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356890.466070921,panther3_controller,37.96%,117.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356892.477936905,panther_controller,45.02%,117.2MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356892.477936905,panther2_controller,44.42%,114MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356892.477936905,panther3_controller,40.69%,117.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356894.492739296,panther_controller,45.86%,116.9MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356894.492739296,panther2_controller,45.32%,114.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356894.492739296,panther3_controller,41.41%,117MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356896.505828893,panther_controller,37.29%,116.6MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356896.505828893,panther2_controller,37.29%,114MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356896.505828893,panther3_controller,32.88%,117.3MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356898.520795332,panther_controller,42.56%,117.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356898.520795332,panther2_controller,38.98%,114.1MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356898.520795332,panther3_controller,36.05%,117.4MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356900.533562899,panther_controller,49.73%,116.8MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356900.533562899,panther2_controller,43.62%,114.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356900.533562899,panther3_controller,38.83%,117.5MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356902.545827100,panther_controller,38.65%,117.1MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356902.545827100,panther2_controller,32.12%,114.8MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356902.545827100,panther3_controller,30.26%,117.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356904.558806937,panther_controller,42.46%,117.7MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356904.558806937,panther2_controller,40.97%,115.9MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356904.558806937,panther3_controller,35.82%,118MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356906.571522545,panther_controller,44.89%,117.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356906.571522545,panther2_controller,42.15%,114.9MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356906.571522545,panther3_controller,36.97%,117.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356908.584010033,panther_controller,40.72%,118.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356908.584010033,panther2_controller,39.45%,115MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356908.584010033,panther3_controller,33.95%,117.5MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356910.599260813,panther_controller,45.21%,118.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356910.599260813,panther2_controller,43.77%,115.5MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356910.599260813,panther3_controller,37.04%,117.8MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356912.611109108,panther_controller,45.81%,118.2MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356912.611109108,panther2_controller,44.72%,115.4MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356912.611109108,panther3_controller,36.73%,118MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356914.625530215,panther_controller,48.13%,118.2MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356914.625530215,panther2_controller,50.00%,114.9MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356914.625530215,panther3_controller,42.17%,117.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1788356916.639193679,panther_controller,48.14%,118.9MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1788356916.639193679,panther2_controller,51.98%,115.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1788356916.639193679,panther3_controller,43.73%,117.5MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356918.653138658,panther_controller,33.01%,118.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356918.653138658,panther2_controller,36.79%,114.6MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356918.653138658,panther3_controller,31.79%,117.5MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356920.665909742,panther_controller,39.75%,118.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356920.665909742,panther2_controller,42.27%,115.3MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356920.665909742,panther3_controller,34.53%,117.5MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356922.679568867,panther_controller,44.00%,117.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356922.679568867,panther2_controller,47.19%,116.2MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356922.679568867,panther3_controller,39.44%,117.5MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356924.691953566,panther_controller,34.31%,117.9MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356924.691953566,panther2_controller,39.55%,116.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356924.691953566,panther3_controller,32.62%,117.4MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356926.706209017,panther_controller,36.95%,118.3MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356926.706209017,panther2_controller,41.43%,116.2MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356926.706209017,panther3_controller,34.67%,118.8MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356928.718863572,panther_controller,45.47%,118.2MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356928.718863572,panther2_controller,49.53%,116.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356928.718863572,panther3_controller,40.38%,118.9MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356930.735504227,panther_controller,39.55%,118.2MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356930.735504227,panther2_controller,44.87%,116.1MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356930.735504227,panther3_controller,37.84%,119.3MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356932.748952483,panther_controller,43.30%,118.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356932.748952483,panther2_controller,48.31%,116.1MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356932.748952483,panther3_controller,39.45%,119.5MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356934.761406325,panther_controller,36.35%,118.8MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356934.761406325,panther2_controller,41.28%,116MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788356934.761406325,panther3_controller,33.21%,119.9MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1788356936.774353069,panther_controller,36.15%,119.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1788356936.774353069,panther2_controller,40.40%,116MiB / 31.05GiB,0B / 0B,0B / 967kB,55
