wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787749744.5045686,panther,SUCCEEDED,24.511,0.071,0,0,0,0
1787749789.4662957,panther,SUCCEEDED,44.96,0.05,0,0,0,0
1787749837.6284966,panther,SUCCEEDED,48.16,0.0,0,0,0,0
1787749890.9936717,panther,SUCCEEDED,53.364,0.0,0,0,0,0
1787749955.0654948,panther,SUCCEEDED,64.07,0.05,0,0,0,0
1787749993.9329045,panther,SUCCEEDED,38.865,0.1,0,0,0,0
1787750049.7947836,panther,SUCCEEDED,55.86,0.05,0,0,0,0
1787750111.457165,panther,SUCCEEDED,61.661,0.05,0,0,0,0
1787750178.2155209,panther,SUCCEEDED,66.757,0.071,0,0,0,0
