wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787749759.878,40.0,10.0,4.38,3.0,1.22,1.0,0.00,1.7,0.06,9.0,0.91,17.084
1787749761.014,41.1,10.1,2.95,2.9,12.69,1.0,0.00,1.7,0.28,8.9,5.75,16.434
1787749762.185,42.3,10.0,0.45,2.9,19.06,1.0,0.00,1.7,1.63,8.6,11.45,15.197
1787749763.320,43.4,10.0,0.53,2.9,7.51,1.0,0.00,1.7,0.85,8.8,7.81,14.717
1787749764.439,44.6,10.0,0.53,3.0,5.98,1.0,0.00,1.7,0.63,8.9,5.03,14.008
1787749765.555,45.7,10.0,0.60,3.0,2.85,1.0,0.00,1.7,0.52,8.9,1.05,13.458
1787749766.705,46.8,10.0,0.53,2.9,11.21,1.0,0.00,1.7,0.34,8.8,7.08,12.827
1787749767.881,48.0,10.0,1.35,3.2,51.10,1.0,0.00,1.7,0.23,8.5,12.47,12.177
1787749769.040,49.2,10.0,1.35,3.9,54.86,1.0,0.00,1.7,0.38,8.6,11.82,11.474
1787749770.162,50.3,10.0,0.34,3.5,64.12,1.0,0.00,1.7,0.35,8.7,8.99,10.827
1787749771.295,51.4,10.0,0.18,3.4,57.79,1.0,0.00,1.7,0.40,8.9,2.32,10.024
1787749772.462,52.6,10.0,0.50,3.4,52.52,1.0,0.00,1.7,0.19,8.6,14.53,8.574
1787749773.618,53.7,10.0,1.01,3.2,60.20,1.0,0.00,1.4,99.59,8.6,9.45,7.786
1787749774.758,54.9,10.0,0.99,3.4,50.25,1.0,0.00,1.7,0.63,8.8,4.20,7.136
1787749775.886,56.0,10.0,0.47,3.0,1.52,1.0,0.00,1.7,0.06,8.9,0.99,6.600
1787749777.040,57.2,10.0,0.43,3.0,1.59,1.0,0.00,1.7,0.23,8.7,8.76,5.927
1787749778.218,58.3,10.0,0.39,2.8,13.18,1.0,0.00,1.7,0.10,8.6,13.82,5.329
1787749779.386,59.5,10.0,0.46,2.8,9.27,1.0,0.00,1.4,99.92,8.4,11.87,4.729
1787749780.518,60.6,10.0,0.43,2.9,7.95,1.0,0.00,1.7,0.16,8.7,5.62,4.079
1787749781.651,61.8,10.0,0.32,3.2,45.45,0.5,0.00,1.7,0.25,8.8,0.84,3.497
1787749782.805,62.9,10.0,0.20,3.5,59.69,1.0,0.00,1.7,1.80,8.7,5.59,2.097
1787749784.033,64.1,10.0,0.48,2.8,23.09,1.0,0.00,1.7,1.55,8.3,13.20,1.493
1787749785.193,65.3,10.0,0.55,2.8,20.00,1.0,0.00,1.4,100.18,8.3,14.44,0.816
1787749786.335,66.4,10.0,0.35,2.7,58.26,1.0,0.00,1.7,0.56,8.7,7.80,0.212
1787749787.477,67.6,10.0,0.51,2.9,176.12,1.0,0.00,1.7,0.87,8.8,0.90,0.000
1787749788.650,68.8,10.0,0.28,5.4,53.62,1.0,0.00,1.7,0.28,8.6,6.84,0.000
1787749789.858,70.0,10.7,22.77,3.4,93.02,1.6,0.00,1.4,101.29,8.5,9.34,23.797
1787749791.020,71.1,10.7,22.30,3.7,112.44,1.0,0.00,1.4,101.36,8.6,11.16,23.682
1787749792.164,72.3,10.0,0.80,3.8,101.37,1.0,0.00,1.7,0.35,8.7,1.33,23.274
1787749793.334,73.4,10.0,0.86,2.2,4.06,1.0,0.00,1.7,0.30,8.6,4.44,22.635
1787749794.545,74.7,10.0,0.72,2.6,57.78,1.0,0.00,1.7,1.07,8.5,4.64,22.095
1787749795.756,75.9,10.0,0.77,2.7,40.31,1.0,0.00,1.2,0.00,8.1,21.68,21.142
1787749796.910,77.0,10.0,0.75,2.8,9.49,1.0,0.00,1.4,101.23,8.5,5.46,20.634
1787749798.064,78.2,10.0,0.83,2.9,1.74,1.0,0.00,1.7,0.76,8.7,1.57,19.997
1787749799.275,79.4,10.0,0.79,2.8,21.38,1.0,0.00,1.4,102.51,8.4,12.73,19.446
1787749800.486,80.6,10.0,0.69,2.8,17.11,1.0,0.00,1.4,100.44,8.4,14.08,18.909
1787749801.683,81.8,10.0,1.20,2.8,15.05,1.0,0.00,1.2,0.00,8.3,16.45,18.296
1787749802.843,83.0,10.0,1.14,2.9,3.70,1.0,0.00,1.7,0.08,8.6,1.95,17.701
1787749804.025,84.1,10.0,0.79,2.8,8.73,1.0,0.00,1.7,2.38,8.5,5.32,16.426
1787749805.197,85.3,10.0,0.74,2.8,9.48,1.0,0.00,1.7,0.00,8.5,5.18,15.820
1787749806.454,86.6,10.0,1.20,2.7,20.13,1.0,0.00,1.2,0.17,8.1,13.25,15.262
1787749807.622,87.7,10.0,0.72,2.8,0.82,1.0,0.00,1.7,0.51,8.3,8.05,14.703
1787749808.796,88.9,10.0,0.64,2.8,5.35,1.0,0.00,1.7,0.54,8.5,1.42,14.097
