wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m,panther4/cmd_vel_nav_hz,panther4/cmd_vel_nav_jitter_ms,panther4/amcl_pose_hz,panther4/amcl_pose_jitter_ms,panther4/plan_hz,panther4/plan_jitter_ms,panther4/local_costmap_hz,panther4/local_costmap_jitter_ms,panther4/velodyne_filtered_hz,panther4/velodyne_filtered_jitter_ms,panther4/path_length_m
1787757824.269,151.8,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,2.0,82.73,0.100,9.9,42.89,0.5,0.00,1.0,0.00,0.5,0.00,2.0,88.65,2.752,9.8,47.49,0.5,0.00,1.0,0.00,0.5,0.00,2.0,83.11,3.127,9.9,50.23,0.5,0.00,0.0,0.00,0.5,0.00,2.0,76.85,5.157
1787757829.214,156.8,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,1.8,62.35,0.100,9.5,45.44,0.5,0.00,1.0,0.00,0.5,0.00,1.8,65.88,1.922,9.8,45.91,0.6,0.00,1.0,0.00,0.5,0.00,1.8,59.05,2.240,7.8,118.29,0.0,0.00,0.0,0.00,0.5,0.00,1.8,55.20,5.157
1787757834.531,162.1,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,2.0,26.30,0.100,9.8,45.52,0.7,0.00,1.0,0.00,0.5,0.00,2.0,29.67,1.212,9.8,40.76,0.5,0.00,1.0,0.00,0.5,0.00,2.0,27.91,1.451,8.7,68.02,0.5,0.00,0.0,0.00,0.5,0.00,2.0,30.17,5.157
1787757839.879,167.5,8.2,95.03,0.5,0.00,0.9,0.00,0.5,0.00,1.9,27.87,24.398,7.4,117.80,0.5,0.00,1.0,0.00,0.5,0.00,1.9,34.28,0.354,7.4,86.48,0.5,0.00,1.0,0.00,0.0,0.00,1.9,24.21,0.616,7.9,105.54,0.5,0.00,0.0,0.00,0.5,0.00,2.0,13.96,5.157
1787757845.289,172.9,9.3,69.44,0.5,0.00,0.0,0.00,0.0,0.00,1.6,51.26,24.171,8.9,58.17,0.5,0.00,1.0,0.00,0.5,0.00,1.7,65.29,0.100,5.6,230.92,0.0,0.00,1.0,0.00,0.0,0.00,1.7,79.11,0.262,9.0,62.19,0.0,0.00,0.0,0.00,0.5,0.00,1.7,74.30,5.157
1787757850.850,178.4,10.0,23.10,0.5,0.00,0.0,0.00,0.0,0.00,1.8,37.25,24.171,10.6,41.08,1.8,33.72,1.0,0.00,0.5,0.00,1.8,34.13,0.071,8.5,84.37,0.0,0.00,1.0,0.00,0.0,0.00,1.9,30.96,0.071,8.4,91.22,0.0,0.00,0.0,0.00,0.0,0.00,1.8,33.64,5.157
1787757855.712,183.3,9.9,10.94,0.5,0.00,0.0,0.00,0.0,0.00,1.8,0.00,24.171,8.0,88.30,1.0,0.00,0.5,0.00,0.5,0.00,2.0,31.47,0.050,10.0,25.14,2.0,59.87,1.0,0.00,0.5,0.00,1.9,39.23,0.000,9.9,39.74,0.5,0.00,0.0,0.00,0.0,0.00,1.9,29.08,5.157
1787757861.164,188.7,9.8,55.83,0.0,0.00,0.0,0.00,0.5,0.00,0.5,0.00,24.171,10.2,46.62,0.0,0.00,0.0,0.00,0.5,0.00,2.3,45.90,0.050,6.7,134.10,1.2,0.00,1.0,0.00,0.5,0.00,2.0,120.44,0.000,10.2,48.43,2.0,125.81,0.5,0.00,0.0,0.00,2.0,125.21,0.050
1787757867.147,194.7,10.0,25.41,0.5,0.00,0.0,0.00,0.5,0.00,1.6,112.27,24.171,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,1.6,130.74,0.050,9.8,45.44,0.5,0.00,0.0,0.00,0.5,0.00,1.7,130.43,0.071,9.4,66.62,0.5,0.00,1.0,0.00,0.5,0.00,1.7,82.62,0.071
1787757873.201,200.8,10.0,13.41,0.0,0.00,0.0,0.00,0.5,0.00,1.6,59.96,24.171,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,0.5,0.00,0.050,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,1.6,87.24,0.071,10.1,25.89,0.8,0.00,0.9,0.00,0.5,0.00,1.6,52.78,27.572
1787757879.055,206.6,10.0,28.57,0.5,0.00,0.0,0.00,0.5,0.00,1.6,1.28,24.171,0.0,0.00,0.5,0.00,0.0,0.00,0.0,0.00,1.6,1.13,0.050,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,1.7,12.76,0.071,6.9,155.15,0.5,0.00,0.9,0.00,0.5,0.00,1.6,6.81,27.420
1787757884.578,212.2,9.8,26.52,0.5,0.00,0.0,0.00,0.5,0.00,2.0,110.74,24.171,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,2.0,125.82,0.050,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,2.0,123.02,0.071,8.1,70.59,0.5,0.00,0.9,0.00,0.5,0.00,2.8,0.00,26.488
1787757890.033,217.6,9.8,35.05,0.5,0.00,0.0,0.00,0.5,0.00,1.8,12.46,24.171,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,1.8,13.49,0.050,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,1.7,10.57,0.071,9.3,45.78,0.5,0.00,0.9,0.00,0.5,0.00,1.7,12.48,25.693
1787757895.181,222.8,8.8,79.92,0.5,0.00,0.0,0.00,0.5,0.00,1.5,40.70,24.171,8.6,76.54,0.0,0.00,1.0,0.00,0.5,0.00,1.5,41.85,0.121,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,1.5,35.30,0.071,9.6,50.05,0.5,0.00,0.5,0.00,0.5,0.00,1.5,43.92,25.123
1787757900.326,227.9,10.3,47.44,0.5,0.00,0.0,0.00,0.5,0.00,2.6,12.03,24.171,10.0,8.37,2.6,11.19,0.9,0.00,0.5,0.00,2.7,9.94,23.759,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,2.6,11.18,0.071,10.3,35.97,0.5,0.00,0.9,0.00,0.0,0.00,2.6,9.68,24.530
1787757905.739,233.3,8.6,63.86,1.2,0.00,0.0,0.00,0.5,0.00,2.4,42.61,24.171,10.2,40.70,0.5,0.00,0.9,0.00,0.5,0.00,2.3,38.08,23.401,10.5,40.56,0.5,0.00,1.0,0.00,0.5,0.00,2.0,108.67,0.121,9.9,33.81,0.5,0.00,0.9,0.00,0.5,0.00,2.3,46.33,23.779
1787757911.527,239.1,9.4,56.12,0.5,0.00,0.0,0.00,0.5,0.00,1.7,42.84,24.171,10.1,11.78,0.5,0.00,1.0,0.00,0.5,0.00,1.8,49.24,22.640,5.6,207.17,0.5,0.00,1.0,0.00,0.5,0.00,1.8,55.28,24.021,10.6,27.27,0.5,0.00,0.9,0.00,0.0,0.00,2.0,129.24,23.190
1787757917.227,244.8,10.0,32.65,0.5,0.00,0.0,0.00,0.5,0.00,1.9,9.18,24.171,9.8,20.83,0.5,0.00,0.5,0.00,0.5,0.00,1.9,12.29,22.046,10.2,31.16,0.5,0.00,1.0,0.00,0.5,0.00,1.9,37.46,23.729,7.1,113.35,0.5,0.00,0.9,0.00,0.5,0.00,1.9,42.80,22.539
1787757922.967,250.5,9.8,43.24,0.5,0.00,0.0,0.00,0.0,0.00,1.5,69.72,24.171,8.7,89.42,0.5,0.00,0.9,0.00,0.5,0.00,1.5,73.66,21.343,9.6,61.64,0.5,0.00,1.0,0.00,0.5,0.00,1.6,76.40,23.023,9.3,41.05,0.5,0.00,0.0,0.00,0.5,0.00,1.6,84.09,22.439
1787757928.473,256.1,8.8,76.94,0.5,0.00,0.5,0.00,0.0,0.00,1.9,100.47,13.911,10.0,10.29,0.5,0.00,1.0,0.00,0.5,0.00,1.9,111.45,20.691,9.9,9.22,0.5,0.00,0.5,0.00,0.5,0.00,1.9,85.67,22.255,6.3,190.69,0.5,0.00,0.0,0.00,0.5,0.00,1.9,109.07,22.439
1787757934.083,261.7,9.9,30.49,0.5,0.00,1.0,0.00,0.0,0.00,1.9,108.48,13.208,10.2,31.68,0.5,0.00,0.9,0.00,0.5,0.00,1.9,62.94,20.072,9.8,34.75,0.9,0.00,0.9,0.00,0.5,0.00,1.9,74.23,21.706,7.1,74.89,0.7,0.00,0.0,0.00,0.5,0.00,2.0,63.57,22.439
1787757939.825,267.4,10.4,36.12,0.5,0.00,0.0,0.00,0.5,0.00,0.7,0.00,12.858,9.5,60.75,0.5,0.00,1.0,0.00,0.5,0.00,0.7,0.00,19.352,7.1,108.49,0.5,0.00,0.9,0.00,0.5,0.00,2.1,28.43,21.095,10.0,22.01,0.5,0.00,0.0,0.00,0.5,0.00,0.7,0.00,22.439
1787757945.708,273.3,5.4,131.52,0.5,0.00,0.0,0.00,0.0,0.00,1.6,49.46,12.858,9.7,43.97,0.5,0.00,0.9,0.00,0.0,0.00,1.6,53.96,18.808,9.7,55.80,0.5,0.00,0.9,0.00,0.5,0.00,1.6,48.29,20.345,10.0,18.52,0.5,0.00,0.0,0.00,0.5,0.00,1.5,0.00,22.439
1787757950.921,278.5,9.9,56.89,0.5,0.00,0.0,0.00,0.5,0.00,1.6,117.45,12.858,9.3,63.35,0.5,0.00,1.0,0.00,0.0,0.00,1.6,113.37,18.249,9.3,61.91,0.5,0.00,0.9,0.00,0.0,0.00,0.0,0.00,19.695,6.2,173.49,0.5,0.00,0.0,0.00,0.0,0.00,0.0,0.00,22.439
1787757956.569,284.1,9.6,56.33,0.5,0.00,0.0,0.00,0.5,0.00,1.4,132.84,12.858,5.8,264.00,0.5,0.00,1.0,0.00,0.0,0.00,1.4,126.78,17.490,9.8,47.87,0.5,0.00,0.0,0.00,0.0,0.00,1.3,0.00,19.695,9.5,57.10,0.5,0.00,0.0,0.00,0.0,0.00,1.3,0.00,22.439
1787757962.363,289.9,10.5,20.67,0.5,0.00,0.0,0.00,0.5,0.00,1.6,11.97,12.858,9.7,52.06,0.5,0.00,0.9,0.00,0.0,0.00,1.6,13.47,16.796,10.0,21.74,0.5,0.00,0.0,0.00,0.0,0.00,1.5,23.73,19.695,5.8,198.41,0.5,0.00,0.0,0.00,0.0,0.00,1.6,11.14,22.439
1787757968.115,295.7,10.2,37.82,0.5,0.00,0.0,0.00,0.5,0.00,1.8,188.60,12.858,10.0,14.54,0.5,0.00,1.0,0.00,0.5,0.00,1.8,183.31,16.081,8.1,119.67,0.5,0.00,0.0,0.00,0.0,0.00,0.5,0.00,19.695,8.0,116.53,0.5,0.00,0.0,0.00,0.0,0.00,0.5,0.00,22.439
1787757973.749,301.3,9.9,27.42,0.5,0.00,0.0,0.00,0.5,0.00,1.8,0.00,12.858,7.5,110.47,0.5,0.00,1.0,0.00,0.5,0.00,1.7,0.00,15.480,10.2,24.65,0.5,0.00,0.0,0.00,0.5,0.00,1.9,97.68,19.695,10.1,15.29,0.5,0.00,0.0,0.00,0.5,0.00,1.9,77.21,22.439
1787757979.349,306.9,10.1,28.50,0.7,0.00,0.0,0.00,0.5,0.00,1.9,112.25,12.858,10.1,11.79,0.5,0.00,0.0,0.00,0.5,0.00,1.9,120.14,15.370,10.6,24.65,0.7,0.00,0.0,0.00,0.5,0.00,1.9,141.18,19.695,6.2,200.94,0.5,0.00,0.0,0.00,0.5,0.00,1.9,133.80,22.439
1787757984.998,312.6,8.9,79.96,0.5,0.00,0.0,0.00,0.5,0.00,1.3,30.82,12.858,5.6,169.92,0.5,0.00,0.0,0.00,0.5,0.00,1.3,31.14,15.370,7.9,150.59,0.5,0.00,0.0,0.00,0.5,0.00,1.3,36.78,19.695,10.0,16.28,0.5,0.00,0.0,0.00,0.5,0.00,0.5,0.00,22.439
