wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787757837.935953,panther,SUCCEEDED,165.307,0.121,2,1,2,0
1787757870.8589997,panther4,SUCCEEDED,198.22,0.071,2,1,1,0
1787757896.7376785,panther2,SUCCEEDED,224.104,0.121,1,1,1,0
1787757909.6236525,panther3,SUCCEEDED,236.95,0.0,1,1,1,0
1787758061.0179448,panther,SUCCEEDED,223.003,0.05,2,1,2,0
1787758127.2819276,panther2,SUCCEEDED,230.511,0.071,1,0,1,0
1787758143.2815263,panther4,SUCCEEDED,272.38,0.05,1,1,1,0
1787758152.1938279,panther3,SUCCEEDED,242.553,0.1,1,0,1,0
