wall_time,namespace,status,duration_wall_s,duration_sim_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1788355442.7845361,panther2,SUCCEEDED,15.259,9.052,0.05,0,0,0,0
1788355468.119991,panther3,SUCCEEDED,34.097,19.648,0.121,0,0,0,0
1788355512.0390828,panther,SUCCEEDED,77.024,42.452,0.05,0,0,0,0
1788355519.2709208,panther3,SUCCEEDED,51.06,26.956,0.071,0,0,0,0
1788355530.3061194,panther2,SUCCEEDED,87.468,47.012,0.0,0,0,0,0
1788355591.4594038,panther2,SUCCEEDED,61.057,29.096,0.071,0,0,0,0
1788355601.4830663,panther3,SUCCEEDED,82.207,39.188,0.071,0,0,0,0
1788355610.6400766,panther,SUCCEEDED,98.574,46.916,0.071,0,0,0,0
1788355679.2606432,panther,SUCCEEDED,68.56,29.152,0.0,0,0,0,0
1788355683.000621,panther2,SUCCEEDED,91.506,39.296,0.0,0,0,0,0
1788355700.194476,panther3,SUCCEEDED,98.662,41.624,0.1,0,0,0,0
1788355779.0053566,panther,SUCCEEDED,99.66,38.62,0.05,0,0,0,0
1788355784.176118,panther2,SUCCEEDED,101.086,39.004,0.05,0,0,0,0
1788355810.6521962,panther3,SUCCEEDED,110.367,41.624,0.0,0,0,0,0
1788355891.2044892,panther,SUCCEEDED,112.172,39.096,0.05,0,0,0,0
1788355903.3496284,panther2,SUCCEEDED,119.156,41.192,0.05,0,0,0,0
