wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/cmd_vel_nav_sim_hz,panther3/cmd_vel_nav_sim_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/amcl_pose_sim_hz,panther3/amcl_pose_sim_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/plan_sim_hz,panther3/plan_sim_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/local_costmap_sim_hz,panther3/local_costmap_sim_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/velodyne_filtered_sim_hz,panther3/velodyne_filtered_sim_jitter_ms,panther3/path_length_m
1788355427.221,165.892,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000
1788355427.396,166.000,0.3,9.93,0.00,15.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,10.15,0.00,15.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,13.726
1788355429.012,167.000,1.9,10.02,3.46,16.22,6.73,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.99,0.00,1.57,0.00,3.13,6.17,5.00,0.00,0.121,10.01,4.01,16.16,7.65,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,1.00,0.00,1.63,0.00,3.13,5.89,5.00,0.00,3.291,10.01,1.69,16.41,7.20,0.00,0.00,0.00,0.00,0.97,0.00,1.55,0.00,1.00,0.00,1.61,0.00,3.13,5.80,5.00,0.00,13.344
1788355430.720,168.000,3.6,10.03,1.20,16.63,8.44,2.96,8.54,5.00,0.00,0.97,0.00,1.67,0.00,0.99,0.00,1.66,29.45,4.07,155.44,6.11,77.14,0.100,9.98,6.87,16.63,9.47,2.90,0.00,5.00,0.00,0.97,0.00,1.66,16.00,1.00,0.00,1.67,14.00,4.07,155.70,6.11,77.14,2.301,10.01,1.10,16.60,7.75,1.45,12.95,2.50,0.00,0.97,0.00,1.61,29.27,1.00,0.00,1.66,13.60,4.07,155.07,6.11,77.14,12.363
1788355432.361,169.000,5.3,10.00,5.59,16.67,9.70,3.08,8.35,5.00,0.00,0.97,0.00,1.62,19.14,1.01,0.00,1.69,18.86,6.66,160.67,8.89,99.22,0.071,10.00,2.36,16.67,10.42,1.53,8.53,2.86,86.60,0.97,0.00,1.63,17.28,1.00,2.77,1.67,13.06,6.66,160.70,8.89,99.22,1.806,10.01,1.00,16.73,8.12,1.53,24.31,2.50,0.00,0.96,0.00,1.62,25.92,1.00,1.58,1.66,4.99,6.65,160.05,8.89,99.22,11.868
1788355434.020,170.000,6.9,10.14,27.25,16.60,15.09,1.18,123.85,3.33,152.75,1.51,366.92,2.15,219.61,1.00,0.51,1.66,0.00,6.50,167.39,10.56,99.86,24.040,10.01,2.46,16.53,9.15,1.50,31.82,2.50,0.00,0.97,0.00,1.62,13.20,1.00,0.35,1.66,16.11,6.50,167.77,10.56,99.86,0.816,10.01,3.52,16.53,10.19,1.49,28.82,2.50,0.00,0.97,0.00,1.62,6.80,1.00,0.90,1.66,6.80,6.51,166.26,10.56,99.86,11.040
1788355435.778,171.000,8.7,10.00,2.96,17.28,14.85,2.84,23.51,3.75,149.07,0.96,0.00,2.00,199.45,1.00,0.73,1.72,39.73,6.24,174.53,10.56,99.86,23.935,9.99,0.80,17.10,8.73,1.49,19.26,2.50,0.00,0.97,0.00,1.63,11.47,1.00,0.00,1.68,13.20,6.25,175.08,10.56,99.86,0.474,10.00,2.47,17.07,10.44,1.44,49.20,2.50,0.00,0.97,0.00,1.66,38.13,1.00,0.14,1.72,31.72,6.24,174.76,10.56,99.86,10.263
1788355437.428,172.000,10.3,10.00,2.11,17.03,9.39,1.78,140.39,3.89,90.35,0.97,0.00,1.64,21.00,1.00,0.00,1.72,39.73,6.72,161.86,10.56,99.86,23.124,10.02,4.64,17.07,8.51,0.70,0.00,1.88,188.56,0.98,0.00,1.67,19.87,1.00,2.23,1.71,14.24,6.72,161.99,10.56,99.86,0.212,10.00,1.25,17.05,8.28,1.50,25.08,2.50,0.00,0.96,0.00,1.66,38.13,1.00,0.21,1.72,30.35,6.72,160.97,10.56,99.86,9.932
1788355439.135,173.000,12.0,10.00,4.10,16.73,9.34,1.46,26.32,2.50,0.00,0.95,0.00,1.62,17.28,1.00,0.00,1.67,21.42,6.47,167.89,10.56,99.86,22.761,9.97,5.88,16.80,8.74,3.14,0.00,1.25,600.00,0.98,0.00,1.64,11.47,1.11,73.76,1.82,37.57,6.47,167.84,10.56,99.86,0.071,10.00,1.85,16.67,8.06,1.45,22.19,2.50,0.00,0.97,0.00,1.62,23.17,1.00,0.07,1.68,13.60,6.48,166.20,10.56,99.86,9.315
1788355440.864,174.000,13.8,10.00,2.98,17.07,10.44,1.49,17.61,2.50,0.00,0.95,0.00,1.61,9.80,1.00,1.63,1.69,13.60,6.53,164.29,10.56,99.86,22.023,10.00,5.25,17.07,9.25,3.00,11.24,5.00,0.00,0.97,0.00,1.62,14.24,1.00,0.00,1.72,22.86,6.53,164.00,10.56,99.86,0.071,10.01,1.10,17.21,7.59,1.48,15.11,2.50,0.00,0.97,0.00,1.66,21.00,1.00,14.34,1.69,14.97,6.53,164.43,10.56,99.86,8.565
