wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/cmd_vel_nav_sim_hz,panther3/cmd_vel_nav_sim_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/amcl_pose_sim_hz,panther3/amcl_pose_sim_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/plan_sim_hz,panther3/plan_sim_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/local_costmap_sim_hz,panther3/local_costmap_sim_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/velodyne_filtered_sim_hz,panther3/velodyne_filtered_sim_jitter_ms,panther3/path_length_m
1788355442.556,175.000,15.5,10.00,2.51,17.07,10.31,1.50,4.52,2.50,0.00,0.93,0.00,1.64,27.39,1.00,6.64,1.72,20.74,6.23,176.44,10.56,99.86,21.345,10.00,3.69,17.07,8.67,2.85,42.13,5.00,0.00,0.98,0.00,1.68,23.55,1.00,1.17,1.71,18.18,6.23,176.53,10.56,99.86,0.050,10.00,1.55,17.21,7.40,1.39,2.86,2.50,0.00,0.96,0.00,1.66,21.00,1.00,0.22,1.73,13.20,6.24,176.78,10.56,99.86,8.215
1788355444.251,176.000,17.2,10.00,0.84,16.80,8.34,1.47,26.57,2.50,0.00,0.97,0.00,1.64,26.40,1.00,4.02,1.72,21.75,6.50,166.63,10.56,99.86,20.945,10.42,22.39,17.38,12.94,1.78,172.19,3.89,90.35,1.02,72.10,1.73,31.72,0.99,0.00,1.70,16.11,6.51,167.52,10.56,99.86,27.499,9.99,0.90,16.80,7.61,1.46,4.40,2.50,0.00,0.97,0.00,1.65,13.60,1.00,0.25,1.72,15.43,6.50,167.21,10.56,99.86,7.486
1788355445.950,177.000,18.8,10.00,3.98,16.91,9.12,1.47,16.56,2.50,0.00,0.96,0.00,1.62,8.22,1.00,2.18,1.69,10.50,6.52,167.05,10.56,99.86,20.148,10.00,1.40,17.42,13.05,2.37,158.43,3.75,94.28,0.95,0.00,1.70,37.85,1.00,4.40,1.69,7.54,6.52,166.81,10.56,99.86,27.315,10.00,3.87,16.94,7.63,1.50,6.28,2.50,0.00,0.97,0.00,1.63,9.98,1.00,0.23,1.69,6.80,6.52,166.21,10.56,99.86,7.086
1788355447.734,178.000,20.6,10.00,1.04,17.49,10.06,1.36,30.22,2.50,0.00,0.95,0.00,1.67,12.36,1.00,3.06,1.76,20.40,6.13,178.55,10.56,99.86,19.298,10.01,9.15,17.35,11.69,1.38,38.02,3.33,100.00,0.91,0.00,1.65,15.43,1.00,0.67,1.76,11.78,6.13,178.28,10.56,99.86,26.512,10.00,1.93,17.35,10.72,1.39,14.50,2.50,0.00,0.98,0.00,1.68,19.96,1.00,0.01,1.75,26.40,6.12,173.92,10.56,99.86,6.306
1788355449.463,179.000,22.4,10.00,0.93,17.68,9.66,1.43,27.22,2.50,0.00,0.97,0.00,1.67,12.36,1.00,1.69,1.74,23.63,6.34,172.04,10.56,99.86,18.948,10.00,1.74,17.54,11.16,1.43,20.67,2.50,0.00,0.96,0.00,1.64,28.47,1.00,0.00,1.74,19.69,6.34,171.39,10.56,99.86,25.693,10.00,1.66,17.61,11.14,1.48,8.71,2.50,0.00,0.97,0.00,1.71,13.06,1.00,1.41,1.73,9.98,6.34,171.67,10.56,99.86,5.478
1788355451.165,180.000,24.1,10.01,1.34,17.17,7.89,1.48,15.68,2.50,0.00,0.95,0.00,1.66,3.27,1.00,0.00,1.71,17.28,6.49,167.34,10.56,99.86,18.145,9.96,1.65,17.17,7.08,1.48,16.55,2.50,0.00,0.94,0.00,1.60,23.55,1.00,0.21,1.71,19.87,6.44,167.22,10.56,99.86,25.279,10.01,3.39,17.24,7.40,1.46,23.69,2.50,0.00,0.97,0.00,1.67,1.89,1.00,1.26,1.72,10.50,6.45,168.01,10.56,99.86,4.657
1788355452.944,181.000,25.8,10.00,2.23,17.35,9.26,1.37,13.92,2.50,0.00,0.96,0.00,1.68,6.80,0.98,0.00,1.72,16.44,6.19,174.84,10.56,99.86,17.437,10.01,3.33,17.38,7.33,1.37,13.57,2.50,0.00,0.95,0.00,1.63,16.33,1.00,0.00,1.74,22.23,6.22,174.16,10.56,99.86,24.691,10.00,1.07,17.38,7.00,1.41,24.29,2.50,0.00,0.97,0.00,1.71,17.99,1.00,0.00,1.73,15.08,6.21,174.54,10.56,99.86,4.306
1788355454.681,182.000,27.6,10.01,2.39,17.61,9.16,1.50,4.18,2.50,0.00,0.97,0.00,1.67,10.50,1.01,10.60,1.76,14.24,6.46,167.58,10.56,99.86,17.037,10.00,1.65,17.45,8.55,1.49,4.07,2.50,0.00,0.95,0.00,1.67,6.53,1.00,1.31,1.76,16.11,6.45,166.75,10.56,99.86,23.960,10.00,3.15,17.54,7.61,1.48,0.42,2.50,0.00,0.98,0.00,1.70,18.86,1.00,0.27,1.75,11.78,6.46,167.11,10.56,99.86,3.631
1788355456.404,183.000,29.3,10.00,1.94,17.31,7.34,2.19,179.37,3.12,97.98,0.97,0.00,1.66,7.54,1.00,0.00,1.73,15.08,6.26,173.15,10.56,99.86,16.184,10.01,4.32,17.28,8.80,1.46,27.28,2.50,0.00,0.95,0.00,1.65,3.77,1.00,0.34,1.72,4.99,6.26,173.98,10.56,99.86,23.552,10.01,3.42,17.35,7.33,1.43,11.00,2.50,0.00,0.98,0.00,1.69,6.53,1.00,0.00,1.74,6.53,6.26,174.32,10.56,99.86,2.673
1788355458.211,184.000,31.1,10.03,2.88,17.57,8.29,1.66,171.15,3.33,100.00,0.96,0.00,1.70,5.66,0.99,0.00,1.77,19.69,6.09,178.99,10.56,99.86,15.284,10.00,3.83,17.64,8.99,1.38,32.75,2.50,0.00,0.95,0.00,1.69,16.76,1.00,0.00,1.76,19.96,6.09,179.00,10.56,99.86,22.772,10.01,2.93,17.64,7.44,1.37,22.26,2.50,0.00,0.98,0.00,1.70,3.77,1.00,0.45,1.76,8.22,6.08,178.28,10.56,99.86,2.171
1788355459.945,185.000,32.8,10.01,6.90,17.64,9.96,1.75,161.85,3.12,97.98,0.97,0.00,1.70,7.54,1.00,5.98,1.77,21.25,6.41,169.41,10.56,99.86,14.834,10.05,2.80,17.64,8.52,1.47,8.53,2.50,0.00,0.95,0.00,1.67,23.17,1.00,1.59,1.76,22.94,6.42,169.24,10.56,99.86,21.936,9.96,1.81,17.54,8.24,1.46,21.54,2.50,0.00,0.97,0.00,1.73,13.60,1.00,0.00,1.76,9.80,6.41,168.16,10.56,99.86,1.238
1788355461.695,186.000,34.6,10.00,3.49,17.42,9.55,1.70,168.26,3.12,97.98,0.97,0.00,1.67,26.13,1.00,0.00,1.74,19.87,6.22,175.06,10.56,99.86,13.976,10.01,1.60,17.53,10.00,1.42,37.65,2.50,0.00,0.95,0.00,1.64,10.50,1.00,0.00,1.73,16.76,6.22,175.14,10.56,99.86,21.496,10.00,5.15,17.38,8.00,1.42,7.41,2.50,0.00,0.97,0.00,1.70,14.97,1.00,0.00,1.75,20.40,6.22,175.00,10.56,99.86,0.333
1788355463.478,187.000,36.4,10.06,2.50,17.78,8.76,1.70,165.17,2.78,80.00,0.96,0.00,1.68,28.16,1.00,0.00,1.76,16.44,6.18,176.39,10.56,99.86,13.126,9.98,2.05,17.68,10.48,1.41,22.10,2.50,0.00,0.96,0.00,1.67,0.00,1.00,2.46,1.76,11.78,6.18,175.76,10.56,99.86,20.815,10.01,1.32,17.82,7.12,1.13,167.04,2.22,86.60,0.97,0.00,1.70,16.76,1.00,0.00,1.75,22.86,6.18,176.00,10.56,99.86,0.050
1788355465.221,188.000,38.1,10.01,8.73,17.61,7.93,1.44,34.71,2.50,0.00,0.97,0.00,1.73,10.50,0.99,0.00,1.79,9.43,6.28,173.82,10.56,99.86,12.721,10.02,2.82,17.57,10.03,1.41,7.79,2.50,0.00,0.96,0.00,1.70,16.97,1.00,0.00,1.79,6.80,6.27,173.31,10.56,99.86,20.185,9.99,0.82,17.61,7.21,2.86,18.30,4.29,74.54,0.97,0.00,1.73,11.47,1.00,0.00,1.78,17.99,6.27,172.51,10.56,99.86,0.000
1788355466.984,189.000,39.9,9.99,4.40,17.49,7.29,1.43,14.43,2.50,0.00,0.97,0.00,1.68,14.24,1.00,2.08,1.76,19.87,6.30,172.06,10.56,99.86,12.008,10.03,5.79,17.54,10.75,1.43,25.08,2.50,0.00,0.95,0.00,1.71,14.97,1.00,0.00,1.75,15.08,6.30,170.92,10.56,99.86,19.792,10.00,1.01,17.45,8.16,2.87,11.86,5.00,0.00,0.97,0.00,1.70,16.11,1.00,0.00,1.74,17.99,6.28,171.19,10.56,99.86,0.100
1788355468.818,190.000,41.7,10.01,5.35,18.00,8.91,1.42,11.09,2.50,0.00,0.97,0.00,1.71,6.80,1.00,2.20,1.76,9.98,6.19,175.48,10.56,99.86,11.217,9.99,2.34,18.00,10.06,1.43,4.36,2.50,0.00,0.94,0.00,1.67,8.64,1.00,0.00,1.80,19.96,6.19,175.53,10.56,99.86,18.927,10.25,24.90,18.29,13.53,2.30,149.18,4.44,66.14,1.15,151.35,1.92,85.81,1.00,0.00,1.76,9.98,6.20,174.09,10.56,99.86,15.369
1788355470.620,191.000,43.5,10.08,4.67,18.15,8.33,1.31,60.09,2.50,0.00,0.97,0.00,1.79,25.51,0.82,0.00,1.70,25.37,5.89,186.08,10.56,99.86,10.467,10.00,2.54,18.15,10.33,1.41,18.09,2.50,0.00,0.95,0.00,1.76,27.78,1.00,0.00,1.83,21.00,5.89,185.12,10.56,99.86,18.140,10.00,4.59,18.48,13.94,2.81,11.22,3.33,152.75,0.95,0.00,1.99,76.27,1.00,0.00,1.82,32.17,5.89,184.72,10.56,99.86,15.021
1788355472.416,192.000,45.3,10.00,5.03,18.00,8.27,1.38,18.10,2.50,0.00,0.97,0.00,1.78,26.40,1.01,7.84,1.73,32.71,6.11,178.52,10.56,99.86,10.117,9.99,3.15,17.82,9.63,1.40,2.61,2.50,0.00,0.96,0.00,1.74,16.76,1.00,0.72,1.79,15.43,6.11,178.46,10.56,99.86,17.326,10.02,2.98,18.04,9.53,1.69,177.95,3.75,94.28,0.97,0.00,1.71,8.22,1.00,2.00,1.79,3.77,6.11,178.30,10.56,99.86,14.267
1788355474.237,193.000,47.1,10.01,2.91,18.04,8.39,1.44,14.44,2.50,0.00,0.97,0.00,1.72,13.06,0.98,0.00,1.79,7.54,6.18,176.27,10.56,99.86,9.349,10.03,6.51,18.04,10.82,1.41,8.10,2.50,0.00,0.97,0.00,1.72,18.86,1.00,0.00,1.78,8.22,6.18,175.99,10.56,99.86,16.976,10.00,1.13,18.00,8.32,1.42,7.52,2.50,0.00,0.97,0.00,1.69,10.50,1.00,0.00,1.77,13.60,6.18,176.13,10.56,99.86,13.837
1788355476.096,194.000,49.0,10.01,5.39,18.40,8.86,1.33,46.88,2.50,0.00,0.98,0.00,1.79,33.15,1.01,4.00,1.85,25.92,5.77,189.38,10.56,99.86,8.670,10.05,6.19,18.40,12.87,1.30,29.26,2.50,0.00,0.96,0.00,1.77,21.75,1.00,0.00,1.74,24.07,5.77,188.83,10.56,99.86,16.431,10.00,4.22,18.29,7.24,1.30,29.46,2.50,0.00,0.96,0.00,1.77,31.16,1.00,3.91,1.85,31.72,5.77,188.80,10.56,99.86,12.982
1788355477.918,195.000,50.8,10.00,0.91,18.52,9.91,1.38,15.66,2.50,0.00,0.97,0.00,1.78,4.99,1.00,0.00,1.82,1.89,6.05,180.21,10.56,99.86,7.972,9.96,7.93,18.37,11.13,1.36,12.96,2.50,0.00,0.96,0.00,1.76,13.20,0.97,0.00,1.79,18.57,6.05,179.64,10.56,99.86,15.817,10.00,3.28,18.44,6.56,1.36,35.24,2.50,0.00,0.96,0.00,1.76,11.47,1.00,0.27,1.84,14.24,6.05,175.89,10.56,99.86,12.166
1788355479.751,196.000,52.7,10.00,1.54,18.15,9.94,1.38,10.59,2.50,0.00,0.97,0.00,1.76,9.98,1.00,1.22,1.83,9.43,6.09,178.67,10.56,99.86,7.626,9.99,4.79,18.22,7.92,1.40,6.89,2.50,0.00,0.96,0.00,1.76,11.78,1.04,0.00,1.81,21.75,6.08,178.65,10.56,99.86,15.337,10.00,1.48,18.29,8.27,1.40,9.09,2.50,0.00,0.97,0.00,1.76,15.43,1.00,0.10,1.83,8.22,6.08,178.62,10.56,99.86,11.418
1788355481.638,197.000,54.5,10.00,3.32,18.57,11.26,1.29,30.87,2.50,0.00,0.98,0.00,1.82,26.13,1.00,1.87,1.89,19.69,5.75,189.86,10.56,99.86,6.976,10.01,11.52,18.61,8.14,1.31,50.82,2.50,0.00,0.98,0.00,1.79,33.94,1.00,0.49,1.90,9.98,5.75,189.96,10.56,99.86,14.748,10.00,1.45,18.54,10.75,1.31,53.17,2.50,0.00,0.96,0.00,1.79,26.20,1.00,0.00,1.76,23.17,5.75,189.93,10.56,99.86,11.064
1788355483.473,198.000,56.4,9.99,4.28,18.72,11.28,1.37,13.43,2.50,0.00,0.97,0.00,1.82,24.07,1.02,0.00,1.87,28.16,6.04,180.13,10.56,99.86,6.260,10.02,10.67,18.65,9.32,1.37,15.07,2.50,0.00,0.97,0.00,1.81,30.35,1.00,0.00,1.87,16.97,6.04,180.39,10.56,99.86,14.373,10.00,0.34,18.57,9.74,1.36,7.11,2.50,0.00,0.97,0.00,1.82,21.25,1.00,0.02,1.76,26.20,6.03,180.09,10.56,99.86,10.316
1788355485.313,199.000,58.2,10.00,1.62,18.33,9.20,1.37,1.91,2.50,0.00,0.98,0.00,1.77,8.64,0.98,0.00,1.81,23.55,5.95,182.97,10.56,99.86,5.511,10.00,2.46,18.48,9.64,2.03,193.79,3.12,97.98,0.97,0.00,1.76,9.98,1.00,1.19,1.82,1.89,5.94,183.20,10.56,99.86,13.587,10.00,0.37,18.29,7.89,1.37,27.21,2.50,0.00,0.97,0.00,1.76,13.20,1.00,0.00,1.82,9.98,5.95,181.65,10.56,99.86,9.446
1788355487.205,200.000,60.1,9.93,4.02,18.61,9.09,1.30,24.71,2.50,0.00,0.97,0.00,1.83,34.62,0.98,0.00,1.74,17.99,5.78,187.43,10.56,99.86,4.780,10.00,4.85,18.65,9.41,1.31,23.11,3.13,97.98,0.96,0.00,1.81,27.19,0.99,0.00,1.76,27.39,5.81,186.45,10.56,99.86,12.775,10.00,1.48,18.72,9.31,1.31,28.70,2.50,0.00,0.97,0.00,1.84,27.39,0.99,0.00,1.88,21.00,5.79,186.60,10.56,99.86,8.739
1788355489.064,201.000,62.0,10.00,4.29,18.76,10.85,1.35,17.05,2.50,0.00,0.98,0.00,1.78,24.07,1.01,11.01,1.85,6.80,5.93,182.47,10.56,99.86,4.030,10.00,6.55,18.84,8.71,1.36,20.37,2.50,0.00,0.97,0.00,1.78,9.98,1.00,4.03,1.84,4.99,5.94,183.20,10.56,99.86,11.909,9.99,0.77,18.65,9.64,1.36,19.87,2.50,0.00,0.96,0.00,1.77,4.99,1.01,5.88,1.87,10.50,5.94,182.22,10.56,99.86,7.886
1788355490.962,202.000,63.9,10.00,2.63,18.72,11.05,1.33,1.61,2.50,0.00,0.98,0.00,1.80,19.14,0.99,0.00,1.88,21.00,5.88,184.95,10.56,99.86,3.700,9.99,2.44,18.80,9.06,1.35,9.68,2.50,0.00,0.96,0.00,1.82,11.47,1.00,0.00,1.84,4.99,5.88,184.84,10.56,99.86,10.990,10.01,0.86,18.72,10.03,1.35,8.55,2.50,0.00,0.95,0.00,1.78,8.22,1.00,0.49,1.87,14.97,5.87,184.62,10.56,99.86,7.539
1788355492.878,203.000,65.8,10.00,6.49,19.11,10.52,1.54,193.78,2.78,80.00,0.97,0.00,1.87,24.51,0.84,0.00,1.80,42.50,5.64,193.41,10.56,99.86,3.020,10.01,2.44,18.99,8.85,1.29,24.11,2.50,0.00,0.98,0.00,1.87,22.86,0.84,0.00,1.79,44.58,5.64,193.44,10.56,99.86,10.707,10.00,1.99,19.11,9.77,1.29,25.22,2.50,0.00,0.97,0.00,1.85,14.24,1.00,0.00,1.81,30.17,5.63,192.65,10.56,99.86,6.860
1788355494.735,204.000,67.6,10.02,4.01,18.80,10.52,1.61,174.57,3.12,97.98,0.97,0.00,1.83,10.50,1.00,0.00,1.77,31.16,5.91,184.09,10.56,99.86,2.126,10.03,1.97,18.80,8.47,1.34,2.40,2.50,0.00,0.97,0.00,1.86,22.23,1.00,0.46,1.77,36.81,5.91,170.08,10.56,99.86,10.009,10.00,0.69,18.84,7.93,1.61,171.76,2.78,80.00,0.97,0.00,1.84,17.99,1.00,0.80,1.81,30.17,5.92,183.35,10.56,99.86,6.154
1788355496.662,205.000,69.6,9.89,5.68,18.69,10.16,1.36,8.67,2.78,80.00,0.99,0.00,1.83,10.50,1.00,0.31,1.87,8.64,5.81,187.52,10.56,99.86,1.283,10.01,1.31,18.92,8.93,1.63,169.55,2.78,80.00,0.98,0.00,1.81,5.66,1.00,0.09,1.89,17.99,5.81,187.26,10.56,99.86,9.566,10.00,1.32,18.99,8.13,1.59,152.04,2.78,80.00,0.98,0.00,1.81,7.54,1.00,0.00,1.84,7.54,5.81,187.45,10.56,99.86,5.327
1788355498.564,206.000,71.5,10.11,5.50,19.08,10.73,1.30,13.08,2.50,0.00,0.97,0.00,1.87,19.69,1.00,0.00,1.80,28.16,5.70,191.49,10.56,99.86,0.495,9.99,4.04,19.19,9.01,1.30,17.42,2.78,80.00,0.96,0.00,1.88,29.63,1.00,0.00,1.94,14.24,5.70,190.86,10.56,99.86,8.906,10.00,2.30,19.15,10.26,1.53,171.95,2.78,80.00,0.96,0.00,1.87,16.97,1.00,0.00,1.79,24.07,5.70,190.25,10.56,99.86,4.557
1788355500.461,207.000,73.4,9.95,2.11,18.80,10.35,0.67,0.00,1.88,188.56,0.98,0.00,1.82,8.64,1.00,1.32,1.88,15.43,5.84,186.35,10.56,99.86,0.312,10.00,0.76,19.04,9.23,1.33,4.44,2.50,0.00,0.98,0.00,1.80,11.78,1.00,2.97,1.88,10.50,5.85,186.01,10.56,99.86,8.186,9.99,3.24,19.07,10.09,1.33,18.79,2.50,0.00,0.97,0.00,1.82,3.27,1.00,3.15,1.89,8.64,5.84,185.94,10.56,99.86,3.783
1788355502.391,208.000,75.3,10.04,2.89,19.23,7.79,0.50,0.00,1.88,188.56,0.98,0.00,1.87,21.75,1.00,0.00,1.88,15.43,5.66,192.52,10.56,99.86,0.171,9.99,1.61,19.11,9.01,1.29,53.09,2.50,0.00,0.97,0.00,1.85,19.96,1.00,0.00,1.88,11.31,5.66,191.05,10.56,99.86,7.536,10.00,0.56,19.04,11.86,1.29,6.15,2.50,0.00,0.97,0.00,1.86,23.63,1.00,0.46,1.92,12.36,5.66,191.61,10.56,99.86,3.185
