timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787412739.686233101,panther_controller,33.01%,99.18MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412739.686233101,panther2_controller,33.75%,99.35MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412741.731954622,panther_controller,32.31%,99.79MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412741.731954622,panther2_controller,33.90%,100.9MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412743.741672408,panther_controller,31.56%,100.3MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412743.741672408,panther2_controller,32.58%,101MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412745.750861955,panther_controller,31.61%,100.3MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412745.750861955,panther2_controller,32.26%,101.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412747.759971140,panther_controller,31.95%,100.1MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412747.759971140,panther2_controller,32.46%,101.4MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412749.769649645,panther_controller,34.30%,100.4MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412749.769649645,panther2_controller,32.02%,101.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412751.779884591,panther_controller,35.78%,100.5MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412751.779884591,panther2_controller,31.52%,101.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412753.791779232,panther_controller,34.61%,100.7MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412753.791779232,panther2_controller,31.02%,101.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412755.800946200,panther_controller,33.09%,101.3MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412755.800946200,panther2_controller,30.57%,101.8MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412757.809141380,panther_controller,34.08%,101.8MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412757.809141380,panther2_controller,32.20%,101.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412759.818809168,panther_controller,36.59%,101.7MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412759.818809168,panther2_controller,32.18%,102.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412761.828780149,panther_controller,35.60%,102MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412761.828780149,panther2_controller,34.81%,102.8MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412763.839372592,panther_controller,33.28%,103.3MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412763.839372592,panther2_controller,31.58%,103.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412765.849805660,panther_controller,36.16%,104MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412765.849805660,panther2_controller,34.96%,103.4MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412767.859868679,panther_controller,35.77%,104MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787412767.859868679,panther2_controller,33.66%,103.4MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787412769.868875556,panther_controller,37.01%,103.9MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412769.868875556,panther2_controller,36.40%,103.6MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412771.878743811,panther_controller,35.54%,104MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412771.878743811,panther2_controller,36.66%,103.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412773.887773042,panther_controller,32.81%,104.4MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412773.887773042,panther2_controller,35.44%,103.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412775.897263083,panther_controller,32.39%,104.2MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412775.897263083,panther2_controller,35.96%,104MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412777.906600383,panther_controller,32.22%,104.3MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412777.906600383,panther2_controller,35.72%,105.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412779.916259007,panther_controller,30.64%,104.3MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412779.916259007,panther2_controller,33.69%,105.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412781.926229552,panther_controller,31.09%,104.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412781.926229552,panther2_controller,35.47%,105.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412783.934800182,panther_controller,33.33%,104.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412783.934800182,panther2_controller,36.95%,105.6MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412785.944435360,panther_controller,29.67%,104.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412785.944435360,panther2_controller,33.90%,105.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412787.954421419,panther_controller,31.10%,104.9MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412787.954421419,panther2_controller,35.09%,105.8MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412789.965007413,panther_controller,32.31%,105.3MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412789.965007413,panther2_controller,35.14%,106MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412791.973740092,panther_controller,29.03%,105.4MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412791.973740092,panther2_controller,33.41%,106MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412793.983765136,panther_controller,30.21%,105.2MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412793.983765136,panther2_controller,34.96%,106.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412795.993418461,panther_controller,33.43%,105.3MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412795.993418461,panther2_controller,37.38%,106.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412798.003457640,panther_controller,29.61%,105.4MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787412798.003457640,panther2_controller,34.23%,106.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787412800.014854275,panther_controller,30.88%,105.8MiB / 31.05GiB,0B / 0B,0B / 963kB,55
