wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787412764.893615,panther,SUCCEEDED,22.952,0.071,0,0,0,0
1787412779.178168,panther2,SUCCEEDED,37.236,0.071,0,0,0,0
1787412825.9498487,panther,SUCCEEDED,60.964,0.05,0,0,0,0
1787412845.7809489,panther2,SUCCEEDED,66.502,0.05,0,0,0,0
1787412894.1105103,panther,SUCCEEDED,68.078,0.05,0,0,0,0
1787412917.0680459,panther2,SUCCEEDED,71.189,0.071,0,0,0,0
1787412970.278492,panther,SUCCEEDED,76.069,0.05,0,0,0,0
1787413008.405924,panther2,SUCCEEDED,91.278,0.05,0,0,0,0
1787413066.9436283,panther,SUCCEEDED,96.612,0.071,0,0,0,0
1787413067.5955696,panther2,SUCCEEDED,59.179,0.071,0,0,0,0
1787413139.381393,panther,SUCCEEDED,72.39,0.071,0,0,0,0
1787413160.4920106,panther2,SUCCEEDED,92.866,0.071,0,0,0,0
1787413231.5637643,panther,SUCCEEDED,92.177,0.071,0,0,0,0
