wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787507010.030,0.1,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787507010.497,0.6,9.6,6.56,0.5,0.00,0.5,0.00,0.0,0.00,6.8,0.45,16.484,9.8,2.35,3.4,0.00,0.5,0.00,0.5,0.00,6.7,4.49,23.460
1787507011.948,2.0,10.0,6.95,2.7,75.43,1.0,0.00,1.3,0.00,6.7,14.97,15.984,10.0,3.39,2.4,68.45,1.0,0.00,1.2,0.00,6.7,13.70,23.036
1787507013.275,3.4,10.0,5.17,2.4,21.23,1.0,0.00,1.3,0.11,7.4,13.34,14.965,10.0,2.60,2.5,19.72,1.0,0.00,1.3,22.35,7.4,12.53,22.426
1787507014.663,4.8,10.0,4.51,2.8,49.95,1.0,0.00,1.2,0.00,7.3,16.40,14.308,10.0,10.48,2.4,41.53,1.0,0.00,1.2,27.47,7.3,17.89,21.498
1787507016.094,6.2,10.0,3.98,2.8,83.23,1.0,0.00,1.2,0.00,6.7,23.32,13.758,10.0,11.84,2.7,84.59,1.0,0.00,1.3,26.15,6.7,24.93,20.946
1787507017.570,7.7,10.0,10.24,2.3,12.42,1.0,0.00,1.3,0.00,6.7,22.43,12.677,10.0,10.88,2.2,23.26,0.5,0.00,1.3,0.00,6.7,21.97,20.430
1787507018.895,9.0,10.1,8.28,2.7,62.19,1.0,0.00,1.2,0.87,7.3,13.33,12.127,10.0,9.58,2.4,23.34,1.0,0.00,1.2,0.00,7.3,12.59,19.447
1787507020.320,10.4,10.1,5.21,2.6,78.48,0.5,0.00,1.2,1.58,7.2,15.63,11.527,10.1,4.79,2.1,103.68,1.0,0.00,1.2,2.57,7.2,16.49,18.984
1787507021.809,11.9,9.9,7.29,2.5,68.39,1.0,0.00,1.3,0.00,6.7,20.98,10.477,10.0,7.66,1.9,61.03,1.0,0.00,1.3,2.51,6.7,21.08,18.281
1787507023.293,13.4,10.0,11.01,2.9,69.81,1.0,0.00,1.2,0.00,6.5,15.70,9.977,10.0,9.12,2.2,28.42,1.0,0.00,1.3,22.94,6.5,16.93,17.819
1787507024.638,14.7,10.0,7.61,2.7,61.36,1.0,0.00,1.3,2.82,7.4,7.56,8.824,10.1,7.33,2.4,10.39,1.0,0.00,1.3,0.00,7.4,6.49,17.389
1787507026.066,16.2,9.9,8.60,3.0,48.47,1.0,0.00,1.2,0.32,7.2,12.78,8.274,10.0,3.25,3.0,49.06,1.0,0.00,1.3,3.82,7.2,12.89,16.280
1787507027.563,17.7,10.0,7.75,2.8,74.63,0.5,0.00,1.3,1.63,6.6,16.97,7.736,10.0,11.98,3.0,74.72,1.0,0.00,1.2,43.23,6.6,16.92,15.675
1787507029.076,19.2,10.0,10.26,2.2,40.78,1.0,0.00,1.0,0.00,6.5,19.75,6.874,10.0,10.56,2.2,37.92,1.0,0.00,1.0,0.00,6.5,19.88,14.821
1787507030.443,20.5,10.0,4.15,2.4,15.60,1.0,0.00,1.3,3.38,7.3,11.16,6.415,10.0,3.22,2.4,18.99,1.0,0.00,1.2,0.00,7.3,9.77,14.352
1787507031.905,22.0,10.0,6.90,2.8,77.91,1.0,0.00,1.3,0.09,7.0,16.01,5.357,10.0,4.15,2.3,25.61,1.0,0.00,1.2,0.00,7.0,16.10,13.901
1787507033.377,23.5,9.9,12.93,2.4,71.31,1.0,0.00,1.2,3.14,6.7,12.40,4.768,10.0,11.00,2.3,34.49,1.0,0.00,1.3,7.17,6.7,14.16,12.998
1787507034.920,25.0,10.0,7.33,2.4,79.27,1.0,0.00,1.0,0.00,6.6,24.10,3.781,10.0,8.59,2.2,47.24,1.0,0.00,1.1,84.01,6.6,23.99,12.544
1787507036.259,26.3,10.0,4.25,3.1,59.47,1.0,0.00,1.3,0.40,7.3,6.75,3.276,10.0,6.22,2.8,70.68,1.0,0.00,1.3,0.00,7.3,6.16,11.502
1787507037.741,27.8,10.0,7.29,2.9,96.56,1.0,0.00,1.2,1.53,6.9,13.33,2.641,9.9,11.15,2.3,23.57,1.0,0.00,1.3,0.00,6.9,14.25,10.954
1787507039.273,29.4,10.0,13.52,2.2,34.04,1.0,0.00,1.2,0.00,6.4,23.49,1.664,10.0,18.74,2.2,19.44,0.5,0.00,1.2,0.29,6.4,22.21,10.481
1787507040.762,30.9,10.0,15.14,2.2,29.67,1.0,0.00,1.2,0.00,6.5,18.38,1.142,10.0,10.17,2.2,34.28,1.0,0.00,1.1,97.63,6.5,19.72,9.604
1787507042.141,32.2,10.0,16.35,2.2,81.48,1.0,0.00,1.3,10.07,7.0,18.19,0.191,10.0,2.59,2.3,29.80,1.0,0.00,1.2,0.00,7.0,19.16,9.014
1787507043.621,33.7,10.0,13.42,1.7,376.50,1.0,0.00,1.1,84.80,6.9,15.96,0.050,10.0,5.38,2.0,75.40,1.0,0.00,1.3,0.00,6.9,16.47,8.173
1787507045.199,35.3,9.9,11.46,5.0,64.27,1.0,0.00,1.2,10.06,6.6,14.33,0.050,10.0,10.57,2.4,59.61,1.0,0.00,1.3,0.00,6.6,14.97,7.788
1787507046.632,36.7,9.9,13.63,3.0,43.42,1.0,0.00,1.3,0.00,6.8,18.50,0.000,10.0,8.89,2.2,31.53,1.0,0.00,1.1,105.11,6.8,18.23,6.796
1787507048.047,38.1,10.5,23.58,2.6,122.83,1.1,123.26,1.3,0.00,7.1,11.23,23.699,10.1,4.92,2.3,27.06,1.0,0.00,1.2,0.00,7.1,12.56,6.296
1787507049.593,39.7,9.9,11.56,3.1,72.76,1.0,0.00,1.0,0.00,6.7,15.06,23.564,10.0,12.95,2.2,37.36,0.5,0.00,1.3,0.00,6.7,14.99,5.796
1787507051.224,41.3,10.0,10.72,2.1,28.56,1.0,0.00,1.0,0.00,6.1,28.97,22.633,10.0,13.75,2.0,46.99,1.0,0.00,1.0,0.00,6.1,28.27,4.926
1787507052.692,42.8,10.2,7.12,1.8,117.89,1.0,0.00,1.3,0.00,6.6,29.11,22.130,10.2,10.06,2.3,23.30,0.5,0.00,1.2,0.00,6.6,28.63,4.556
1787507054.080,44.2,10.0,5.31,2.6,45.15,0.5,0.00,1.3,15.67,7.1,8.33,21.856,10.0,8.38,2.4,17.61,1.0,0.00,1.3,4.18,7.1,9.37,3.517
1787507055.727,45.8,10.0,9.61,2.0,23.74,1.0,0.00,1.0,0.00,6.2,20.43,21.050,10.0,6.71,3.1,30.23,0.5,0.00,1.0,0.00,6.2,22.85,2.986
1787507057.329,47.4,10.0,13.77,2.1,10.47,1.0,0.00,1.0,0.00,6.2,21.72,20.062,10.0,10.98,2.0,32.19,1.0,0.00,1.0,0.00,6.2,19.84,1.966
1787507058.749,48.8,10.0,4.55,2.3,21.58,1.0,0.00,1.3,0.00,6.8,15.10,19.607,10.0,8.68,2.3,11.30,1.0,0.00,1.3,1.99,6.9,13.17,1.414
1787507060.212,50.3,10.0,9.76,2.3,25.45,1.0,0.00,1.3,0.00,7.0,11.36,19.139,10.0,11.09,2.1,95.26,1.0,0.00,1.3,2.61,7.0,11.94,0.404
1787507061.853,51.9,10.0,13.28,2.1,35.56,1.0,0.00,1.0,0.00,6.3,18.77,18.358,10.0,6.97,1.1,0.00,1.0,0.00,1.0,0.00,6.3,16.75,0.191
1787507063.420,53.5,10.0,4.18,2.1,38.55,0.5,0.00,1.1,113.77,6.3,18.37,17.971,10.0,10.05,3.1,288.75,1.0,0.00,1.3,0.00,6.3,19.09,0.050
1787507064.864,55.0,10.0,5.36,2.3,19.59,1.0,0.00,1.2,0.00,6.9,11.13,17.041,10.0,11.16,4.8,64.38,1.0,0.00,1.2,3.37,6.9,11.47,0.071
1787507066.487,56.6,10.0,7.54,2.2,18.32,0.5,0.00,1.2,0.00,6.3,22.26,16.549,10.3,25.33,2.9,55.64,1.1,0.00,1.3,0.00,6.3,23.06,23.970
1787507068.121,58.2,10.0,17.49,2.1,18.48,1.0,0.00,1.0,0.00,6.0,22.82,15.725,10.0,6.23,4.1,78.07,1.0,0.00,1.0,0.00,6.0,24.31,23.765
1787507069.644,59.7,10.0,10.69,2.1,32.12,1.0,0.00,1.1,92.95,6.5,19.59,14.753,10.0,12.89,2.3,80.80,0.9,0.00,1.2,0.00,6.4,19.61,23.313
