wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787411982.6911106,panther,SUCCEEDED,13.558,0.0,0,0,0,0
1787412035.7637346,panther,SUCCEEDED,53.071,0.05,0,0,0,0
1787412090.4278505,panther,SUCCEEDED,54.662,0.05,0,0,0,0
1787412157.5118406,panther,SUCCEEDED,67.082,0.071,0,0,0,0
1787412197.6815786,panther,SUCCEEDED,40.167,0.05,0,0,0,0
1787412255.14354,panther,SUCCEEDED,57.46,0.0,0,0,0,0
1787412319.405298,panther,SUCCEEDED,64.26,0.071,0,0,0,0
1787412385.0676298,panther,SUCCEEDED,65.661,0.071,0,0,0,0
1787412465.548091,panther,SUCCEEDED,80.479,0.0,0,0,0,0
