wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787506220.605,0.1,0.5,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787506221.611,1.1,10.0,1.17,0.5,0.00,0.5,0.00,0.5,0.00,9.2,2.34,0.141
1787506222.696,2.2,10.0,0.52,1.5,114.26,1.0,0.00,1.7,0.19,9.2,1.78,0.141
1787506223.834,3.3,10.0,0.81,2.4,79.29,1.0,0.00,1.7,0.53,9.0,13.42,0.141
1787506224.948,4.5,10.0,1.10,3.1,4.32,1.0,0.00,1.7,0.23,8.8,14.36,0.121
1787506226.061,5.6,10.0,1.53,3.6,58.39,1.0,0.00,1.7,0.53,9.0,5.04,0.050
1787506227.155,6.7,10.7,22.60,4.5,7.75,1.1,106.05,1.7,1.70,9.1,13.62,24.448
1787506228.247,7.8,10.7,22.57,3.9,51.20,1.0,0.00,1.7,0.69,9.2,1.16,24.100
1787506229.369,8.9,10.0,1.25,3.4,58.04,1.0,0.00,1.7,0.99,9.0,7.52,23.464
1787506230.511,10.0,10.0,3.28,2.3,48.02,1.0,0.00,1.7,2.53,8.8,12.39,22.707
1787506231.648,11.2,10.0,3.26,2.2,16.48,1.0,0.00,1.7,0.87,8.7,13.01,22.212
1787506232.744,12.2,10.0,1.88,2.2,10.04,1.0,0.00,1.7,0.84,8.9,8.92,21.667
1787506233.842,13.3,10.0,1.88,2.3,1.48,1.0,0.00,1.7,1.66,9.1,1.18,21.101
1787506234.981,14.5,10.0,1.43,2.4,60.65,1.0,0.00,1.7,1.09,8.9,14.81,20.606
1787506236.128,15.6,10.0,1.42,3.0,15.11,1.0,0.00,1.7,1.89,8.7,16.14,20.082
1787506237.261,16.8,10.0,1.22,2.9,15.32,1.0,0.00,1.7,0.24,8.7,9.91,19.527
1787506238.366,17.9,10.0,1.85,2.8,44.13,1.0,0.00,1.7,0.24,8.9,7.97,19.044
1787506239.469,19.0,10.0,2.01,3.0,0.29,0.5,0.00,1.7,0.25,9.1,0.80,18.544
1787506240.640,20.1,10.0,2.24,2.9,8.33,1.0,0.00,1.7,0.39,8.7,11.15,17.281
1787506241.806,21.3,10.0,1.87,2.8,18.70,1.0,0.00,1.4,100.05,8.6,12.23,16.681
1787506242.958,22.5,10.0,0.83,3.1,51.53,1.0,0.00,1.7,1.16,8.8,8.50,16.031
1787506244.071,23.6,10.0,1.43,3.2,44.61,1.0,0.00,1.7,0.78,8.8,8.70,15.417
1787506245.216,24.7,10.0,0.87,3.0,1.80,1.0,0.00,1.7,0.48,8.8,7.58,14.817
1787506246.366,25.9,10.0,1.25,2.9,13.43,1.0,0.00,1.7,0.36,8.6,7.81,14.258
1787506247.488,27.0,10.0,3.44,3.1,48.74,1.0,0.00,1.7,1.03,8.8,13.86,13.608
1787506248.619,28.1,10.0,1.50,3.2,46.29,1.0,0.00,1.7,0.33,8.9,6.05,12.958
1787506249.734,29.2,10.0,1.33,3.6,55.78,1.0,0.00,1.7,0.17,9.0,1.01,12.308
1787506250.872,30.4,10.0,1.57,3.5,51.17,1.0,0.00,1.7,0.07,8.9,6.72,10.927
1787506252.059,31.6,10.0,1.89,3.0,42.93,1.0,0.00,1.7,0.50,8.5,18.70,10.277
1787506253.238,32.7,10.0,1.35,2.9,13.22,1.0,0.00,1.7,1.01,8.6,16.14,9.577
1787506254.363,33.9,10.0,1.18,2.9,19.81,1.0,0.00,1.4,100.01,8.6,12.43,8.924
1787506255.488,35.0,10.0,1.34,3.0,1.50,1.0,0.00,1.7,0.07,8.9,1.04,8.327
