wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787506227.0273979,panther,SUCCEEDED,6.423,0.071,0,0,0,0
1787506271.7889955,panther,SUCCEEDED,44.76,0.05,0,0,0,0
1787506319.4591415,panther,SUCCEEDED,47.668,0.071,0,0,0,0
1787506373.318693,panther,SUCCEEDED,53.858,0.071,0,0,0,0
1787506437.6002767,panther,SUCCEEDED,64.28,0.071,0,0,0,0
1787506476.56478,panther,SUCCEEDED,38.963,0.05,0,0,0,0
1787506533.5264568,panther,SUCCEEDED,56.96,0.0,0,0,0,0
1787506597.3903701,panther,SUCCEEDED,63.862,0.05,0,0,0,0
1787506713.8392653,panther,SUCCEEDED,116.447,0.071,0,0,0,0
