wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787410449.182923,panther,SUCCEEDED,13.65,0.0,1,0,0,0
1787410458.1202981,panther2,SUCCEEDED,22.586,0.0,0,0,0,0
1787410513.810938,panther,SUCCEEDED,64.572,0.0,0,0,0,0
1787410527.334872,panther2,SUCCEEDED,69.179,0.05,0,0,0,0
1787410586.3688278,panther,SUCCEEDED,72.479,0.121,0,0,0,0
1787410602.2612388,panther2,SUCCEEDED,74.861,0.0,0,0,0,0
1787410666.4534347,panther,SUCCEEDED,80.068,0.121,0,0,0,0
1787410693.6543477,panther2,SUCCEEDED,91.292,0.05,0,0,0,0
